date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:16	13/13	---M--	200	added ('OK')	text/plain	etag:%2214f00210-d-54bd9ec6f98cb%22	https://pixinvent.com/robots.txt		(from )
16:31:16	127263/127263	---M-Z	200	added ('OK')	text/html	etag:%22158408b4-1f11f-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/index.html	(from )
16:31:16	127263/127263	---M-Z	200	added ('OK')	text/html	etag:%22158408b4-1f11f-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/index.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/index-2.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:17	104839/104839	---M-Z	200	added ('OK')	text/html	etag:%22158408b7-19987-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-2-columns.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-2-columns.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:18	130815/130815	---M-Z	200	added ('OK')	text/html	etag:%2215840835-1feff-55170edd68800%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/color-palette-primary.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/color-palette-primary.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:22	48706/48706	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Jul%202017%2009:31:18%20GMT	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/sk-2-columns.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/sk-2-columns.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:22	95115/95115	---M-Z	200	added ('OK')	text/html	etag:%2215840824-1738b-55170edd68800%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/changelog.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/changelog.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:23	127263/127263	---M-Z	200	added ('OK')	text/html	etag:%221584085a-1f11f-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/dashboard-ecommerce.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/dashboard-ecommerce.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:24	113042/113042	---M-Z	200	added ('OK')	text/html	etag:%2215840859-1b992-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/dashboard-analytics.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/dashboard-analytics.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:25	130842/130842	---M-Z	200	added ('OK')	text/html	etag:%221584085b-1ff1a-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/dashboard-fitness.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/dashboard-fitness.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:26	63849/63849	---M-Z	200	added ('OK')	text/html	etag:%22158408b6-f969-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-1-column.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-1-column.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:27	115251/115251	---M-Z	200	added ('OK')	text/html	etag:%22158408b9-1c233-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-content-detached-left-sidebar.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-content-detached-left-sidebar.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:28	117075/117075	---M-Z	200	added ('OK')	text/html	etag:%22158408ba-1c953-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-content-detached-left-sticky-sidebar.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-content-detached-left-sticky-sidebar.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:29	115624/115624	---M-Z	200	added ('OK')	text/html	etag:%22158408bb-1c3a8-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-content-detached-right-sidebar.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-content-detached-right-sidebar.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:30	117221/117221	---M-Z	200	added ('OK')	text/html	etag:%22158408bc-1c9e5-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-content-detached-right-sticky-sidebar.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-content-detached-right-sticky-sidebar.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:31	105357/105357	---M-Z	200	added ('OK')	text/html	etag:%22158408c0-19b8d-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed-navbar.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed-navbar.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:32	105477/105477	---M-Z	200	added ('OK')	text/html	etag:%22158408c1-19c05-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed-navigation.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed-navigation.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:33	108446/108446	---M-Z	200	added ('OK')	text/html	etag:%22158408bf-1a79e-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed-navbar-navigation.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed-navbar-navigation.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:34	107347/107347	---M-Z	200	added ('OK')	text/html	etag:%22158408be-1a353-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed-navbar-footer.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed-navbar-footer.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:35	109734/109734	---M-Z	200	added ('OK')	text/html	etag:%22158408c2-1aca6-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-fixed.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:36	106197/106197	---M-Z	200	added ('OK')	text/html	etag:%22158408b8-19ed5-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-boxed.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-boxed.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:37	108857/108857	---M-Z	200	added ('OK')	text/html	etag:%22158408c5-1a939-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-static.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-static.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:38	110169/110169	---M-Z	200	added ('OK')	text/html	etag:%22158408c3-1ae59-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-light.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-light.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:39	110455/110455	---M-Z	200	added ('OK')	text/html	etag:%22158408bd-1af77-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-dark.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-dark.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:40	109237/109237	---M-Z	200	added ('OK')	text/html	etag:%22158408c4-1aab5-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-semi-dark.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/layout-semi-dark.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:41	132030/132030	---M-Z	200	added ('OK')	text/html	etag:%22158408d1-203be-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-light.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-light.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:42	131909/131909	---M-Z	200	added ('OK')	text/html	etag:%22158408cd-20345-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-dark.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-dark.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:43	133265/133265	---M-Z	200	added ('OK')	text/html	etag:%22158408d2-20891-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-semi-dark.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-semi-dark.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:44	153669/153669	---M-Z	200	added ('OK')	text/html	etag:%22158408cb-25845-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-brand-center.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-brand-center.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:45	106099/106099	---M-Z	200	added ('OK')	text/html	etag:%22158408ce-19e73-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-fixed-top.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-fixed-top.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:46	121274/121274	---M-Z	200	added ('OK')	text/html	etag:%22158408d0-1d9ba-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-hide-on-scroll-top.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-hide-on-scroll-top.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:47	121904/121904	---M-Z	200	added ('OK')	text/html	etag:%22158408cf-1dc30-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-hide-on-scroll-bottom.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-hide-on-scroll-bottom.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:48	126122/126122	---M-Z	200	added ('OK')	text/html	etag:%22158408cc-1ecaa-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-components.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-components.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:49	114263/114263	---M-Z	200	added ('OK')	text/html	etag:%22158408d3-1be57-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-styling.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/navbar-styling.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:50	106529/106529	---M-Z	200	added ('OK')	text/html	etag:%22158408f0-1a021-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-fixed.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-fixed.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:51	106019/106019	---M-Z	200	added ('OK')	text/html	etag:%22158408f5-19e23-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-static.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-static.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:52	106363/106363	---M-Z	200	added ('OK')	text/html	etag:%22158408f2-19f7b-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-light.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-light.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:55	106548/106548	---M-Z	200	added ('OK')	text/html	etag:%22158408ee-1a034-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-dark.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-dark.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:56	106430/106430	---M-Z	200	added ('OK')	text/html	etag:%22158408eb-19fbe-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-accordion.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-accordion.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:56	106806/106806	---M-Z	200	added ('OK')	text/html	etag:%22158408ed-1a136-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-collapsible.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-collapsible.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
16:31:57	106558/106558	---M-Z	200	added ('OK')	text/html	etag:%22158408f1-1a03e-55170edf50c80%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-flipped.html	pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/vertical-nav-flipped.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-menu-template/)
